id,building_number,city,country_code,latitude,longitude,postal_code,street
1,3,Ostrava,CZ,49.856381682498714,18.270513312079853,70200,Úprkova
2,,Starý Jičín,CZ,,,74231,
3,16,Praha,CZ,50.07205532967228,14.39991339482911,15000,Plzeňská
4,,Litovel,CZ,,,78401,
5,42,Olomouc,CZ,49.590450316855154,17.27701997201984,77900,Jeremenkova
6,,Zásmuky,CZ,,,28144,Komenského nám.
7,115b,Brno,CZ,49.16799162020686,16.68088007695923,60200,Tuřanka
8,8,Olomouc,CZ,49.57583698005331,17.298439990356876,77900,U hřiště
9,17,Žďár nad Sázavou,CZ,49.554926870706836,15.942659359514478,59101,Haškova
10,1,Brno,CZ,49.19369479058372,16.606986188796064,60200,Dominikánské náměstí
11,,Brno,CZ,,,,
12,,,CZ,,,,
13,,Dětřichov u Moravské Třebové,CZ,,,57101,
14,32,Brno,CZ,49.17488275626015,16.617150196562058,61900,Kšírova
15,1,Praha,CZ,50.09504055287014,14.403275727042727,16000,Tychonova
16,2a,Břeclav,CZ,48.764207122814064,16.886678095573675,69002,U Cukrovaru
17,,Pardubice,CZ,,,53002,V Ráji
18,,Pardubice,CZ,,,53002,Pernštýnské náměstí
19,,Pardubice,CZ,,,53002,třída Míru
20,,Zaječice,CZ,,,53835,
21,,Pardubice,CZ,,,53002,Arnošta z Pardubic
22,,Harrachov,CZ,,,51246,
23,7,Ostrava,CZ,49.83956773559636,18.290158319787018,70200,Českobratrská
24,8,Ostrava,CZ,49.841734774333126,18.291688964152605,70200,Prokešovo náměstí
25,,Ostrava,CZ,,,72400,
26,,Bruzovice,CZ,,,73936,
27,,Rožnov pod Radhoštěm,CZ,,,75661,Radhošťská
28,,Rožnov pod Radhoštěm,CZ,,,75661,nábřeží Dukelských hrdinů
29,5,Brno,CZ,49.19724915387485,16.590792195745912,60200,Všetičkova
30,,Drnovice,CZ,,,67976,
31,36,Praha,CZ,50.10446478358653,14.373217655663233,16000,Na pískách
32,,Světlá nad Sázavou,CZ,,,58291,Panuškova
33,46,Jihlava,CZ,49.397956514987285,15.573472323198555,58601,Vrchlického
34,,Žďár nad Sázavou,CZ,,,59101,
35,14,Třebíč,CZ,49.22041153204918,15.90287672258799,67401,Jana Habrdy
36,,Moravský Krumlov,CZ,,,67201,Tiskárenská
37,,Frymburk,CZ,,,38279,
38,7,Brno,CZ,49.16033071532232,16.612388475993324,61900,K terminálu
39,1,Brno,CZ,49.210867410211215,16.633472394690735,61400,náměstí Republiky
40,,Pardubice,CZ,,,53002,Za Pasáží
41,,Petrovice u Sušice,CZ,,,34201,
42,19,Vimperk,CZ,49.05558940467522,13.779844757338417,38501,1. máje
43,7,Praha,CZ,50.088940979580684,14.34416229815281,16200,Křenova
44,,Bavorov,CZ,,,38773,Na Sídlišti
45,,Zdice,CZ,,,26751,Hornická
46,1,Brno,CZ,49.22301917599177,16.592612927163053,61200,Slovanské náměstí
47,132,Praha,CZ,50.08385999001644,14.363640887579935,16900,Bělohorská
48,,Kladno,CZ,,,27203,Oldřichova
49,,Česká Lípa,CZ,,,47001,Vachkova
50,,Kladno,CZ,,,27201,Jana Palacha
51,1,Praha,CZ,50.03885002173746,14.475352649064376,14800,Tomíčkova
52,31,Praha,CZ,50.062135113338876,14.437472738780293,14000,Táborská
53,,Frýdlant,CZ,,,46401,Zahradní
54,16,Praha,CZ,50.09146416090912,14.44028916235829,18600,Sokolovská
55,12,Brno,CZ,49.21877606394146,16.597996141092008,61200,Palackého třída
56,49,Praha,CZ,50.02621473843033,14.418106552887034,14700,Údolní
57,24,Praha,CZ,50.103551954983125,14.528929800417899,19800,Nademlejnská
58,114,Nový Jičín,CZ,49.60488636735585,18.024094260659712,74101,Suvorovova
59,42,Praha,CZ,50.06483764937158,14.50872520907542,10000,Uhříněveská
60,,Praha,CZ,,,14800,Dobronická
61,,Praha,CZ,,,19011,Podnikatelská
62,,Litvínov,CZ,,,43601,Tržní
63,16,Litoměřice,CZ,50.54560557600126,14.123247571452454,41201,Dukelská
64,,Komárov,CZ,,,26762,Nad Oborou
65,,Komárov,CZ,,,26762,
66,,Dolní Řasnice,CZ,,,46401,
67,38,Brno,CZ,49.20144315720894,16.715292149063142,62800,Podolská
68,,Slavkov,CZ,,,74757,Olomoucká
69,58,Praha,CZ,50.049737185867194,14.45876751187656,14000,Michelská
70,,Helvíkovice,CZ,,,56401,
71,,Jičín,CZ,,,50601,Konecchlumského
72,,Ústí nad Orlicí,CZ,,,56201,Barcalova
73,24,Praha,CZ,50.09026357139665,14.42597002200745,11000,Rybná
74,,Branišovice,CZ,,,67177,
75,10,Litoměřice,CZ,50.533432124469066,14.132471119191433,41201,Mírové náměstí
76,18,Praha,CZ,50.07233179182891,14.39792862584822,15000,Plzeňská
77,11,Brno,CZ,49.20576533596179,16.661714251440046,62800,Pálavské náměstí
78,1,Brno,CZ,49.20565402184671,16.627446333989006,61400,Zubatého
79,,Nýřany,CZ,,,33023,
80,21,Praha,CZ,50.044187465252236,14.458819219300848,14000,Jihlavská
81,,Zlín,CZ,,,76001,Přílucká
82,,Roztoky,CZ,,,25263,Nádražní
83,,Poběžovice,CZ,,,34522,náměstí Míru
84,58,České Budějovice,CZ,48.99153775966779,14.476510081815663,37004,Pražská tř.
85,,Rokycany,CZ,,,33701,
86,,Štěnovice,CZ,,,33209,Plzeňská
87,12,Praha,CZ,50.06544378494151,14.493013891493463,10000,V korytech
88,,Pardubice,CZ,,,53353,
89,65,Žďár nad Sázavou,CZ,49.5519873925402,15.95727867163188,59101,Jamská
90,128,Praha,CZ,50.041044623117344,14.458671657152022,14000,Budějovická
91,,Domažlice,CZ,,,34401,Bezděkovské Předměstí
92,36,Praha,CZ,50.06428839090001,14.500647739395696,10000,Dubečská
93,,Teplice,CZ,,,41501,Křižíkova
94,1,Praha,CZ,50.11143037821721,14.495405341696605,19000,Rubeška
95,37,Ústí nad Labem,CZ,50.664210398845846,14.032547950387412,40001,Masarykova
96,,Praha,CZ,,,14000,
97,,Stříbrná Skalice,CZ,,,28163,
98,,Tetín,CZ,,,26601,náměstí Kněžny Ludmily
99,,Praha,CZ,,,19900,Veselská
100,3,Praha,CZ,50.09020459692643,14.404972731412093,11800,Valdštejnské náměstí
101,4,Praha,CZ,50.102122097946214,14.473808794382181,18000,Zenklova
102,,Ústí nad Orlicí,CZ,,,56201,J. Nygrína
103,4,Brno,CZ,49.21129836689882,16.67582237206537,62800,Houbalova
104,34,Ostrava,CZ,49.83868743134715,18.29411979516139,70200,Havlíčkovo nábřeží
105,11,Ostrava,CZ,49.808357663894974,18.27215176621513,70300,Bivojova
106,,Bílovice nad Svitavou,CZ,,,66401,Hradisko
107,,Bratislava,,,,82109,Tomášikova
108,,Brtnice,CZ,,,58832,nám. Svobody
109,20,Brno,CZ,49.20521560913073,16.6452899035344,61500,Komprdova
110,3,Praha,CZ,50.08962415856193,14.428593584389565,11000,Truhlářská
111,57,Brno,CZ,49.183666875628745,16.622272697648885,61700,Dornych
112,,Opočno,CZ,,,51773,Nádražní
113,,Rádlo,CZ,,,46803,Rádlo
114,33,Brno,CZ,49.19198183472776,16.60195128031905,60200,Pekařská
115,52b,České Budějovice,CZ,48.98815223594987,14.473538152940783,37004,Pražská tř.
116,37,Ostrava,CZ,49.83026675784623,18.304857194784677,71000,Hradní
117,108,Praha,CZ,50.075090556522795,14.458327944214924,10100,Korunní
118,8,Praha,CZ,50.09276433655027,14.431970101979719,11000,Lannova
119,65,Hradec Králové,CZ,50.20187200292529,15.778458889375797,50004,Pražská třída
120,,Litvínov,CZ,,,43601,
