id,contracting_authority_name,url,address_id
1,Obec Starý Jičín,https://nen.nipez.cz/profil/staryjicin,2
2,Statutární město Brno,https://nen.nipez.cz/profil/UMC_Brno_Kohoutovice,10
3,Obec Dětřichov u Moravské Třebové,https://nen.nipez.cz/profil/oudmt,13
4,Ministerstvo obrany,https://nen.nipez.cz/profil/MO,15
5,Statutární město Pardubice,https://nen.nipez.cz/profil/pardubice,18
6,Město Harrachov,https://nen.nipez.cz/profil/Harrachov,22
7,Statutární město Ostrava,https://nen.nipez.cz/profil/0084545110,24
8,Střední škola zemědělská a přírodovědná Rožnov pod Radhoštěm,https://nen.nipez.cz/profil/szesro,28
9,Obec Drnovice,https://nen.nipez.cz/profil/obecdrnovice,30
10,Krajské ředitelství policie kraje Vysočina,https://nen.nipez.cz/profil/KRPKVyso,33
11,Správa Národního parku Šumava,https://nen.nipez.cz/profil/NPSUMAVA,42
12,Hasičský záchranný sbor Středočeského kraje,https://nen.nipez.cz/profil/STC,50
13,"Frýdlantská vodárenská společnost,a.s.",https://nen.nipez.cz/profil/vodarnafrydlant,53
14,Hasičský záchranný sbor Jihomoravského kraje,https://nen.nipez.cz/profil/HZSJmK,78
15,Hasičský záchranný sbor Zlínského kraje,https://nen.nipez.cz/profil/HZS_ZlK,81
16,Město Poběžovice,https://nen.nipez.cz/profil/Pobezovice,83
17,Národní památkový ústav,https://nen.nipez.cz/profil/NPU,100
18,Krajský soud v Ostravě,https://nen.nipez.cz/profil/KSOstrava,104
19,Město Brtnice,https://nen.nipez.cz/profil/mestobrtnice,108
20,Hasičský záchranný sbor Jihočeského kraje,https://nen.nipez.cz/profil/HZS_Jck,115
21,Ministerstvo práce a sociálních věcí,https://nen.nipez.cz/profil/MPSV,127
22,"ČEZ Distribuce, a. s.",https://nen.nipez.cz/profil/DSO,163
23,Úřad průmyslového vlastnictví,https://nen.nipez.cz/profil/UPV,166
24,Národní muzeum,https://nen.nipez.cz/profil/NM,169
25,"ČEZ, a. s.",https://nen.nipez.cz/profil/CEZ,178
26,Ministerstvo vnitra,https://nen.nipez.cz/profil/MVCR,181
27,Národní divadlo,https://nen.nipez.cz/profil/nd,186
28,"Krajská nemocnice T. Bati, a. s.",https://nen.nipez.cz/profil/KNTB,201
29,Statutární město Přerov,https://nen.nipez.cz/profil/zakazkymestoPrerov,214
30,Úřad práce České republiky,https://nen.nipez.cz/profil/UPCR,222
31,Státní oblastní archiv v Plzni,https://nen.nipez.cz/profil/soaplzen,225
32,Krajské ředitelství policie hlavního města Prahy,https://nen.nipez.cz/profil/KRP,227
33,Institut klinické a experimentální medicíny,https://nen.nipez.cz/profil/ikem,239
34,Krajské ředitelství policie Olomouckého kraje,https://nen.nipez.cz/profil/KRPOLK,244
35,Národní knihovna České republiky,https://nen.nipez.cz/profil/NKCR,267
36,Město Jindřichův Hradec,https://nen.nipez.cz/profil/00246875,271
37,Hasičský záchranný sbor Plzeňského kraje,https://nen.nipez.cz/profil/HZSPLK,276
38,Úřad pro zastupování státu ve věcech majetkových,https://nen.nipez.cz/profil/uzsvm,286
39,Obec Kasalice,https://nen.nipez.cz/profil/Kasalice,304
40,Statutární město Zlín,https://nen.nipez.cz/profil/MMZ,308
41,Státní oblastní archiv v Litoměřicích,https://nen.nipez.cz/profil/SOALTM,318
42,Ministerstvo financí,https://nen.nipez.cz/profil/mfcr,321
43,Digitální a informační agentura,https://nen.nipez.cz/profil/DIA,329
44,Statutární město Jablonec nad Nisou,https://nen.nipez.cz/profil/SMJNN,331
45,Obec Kozlovice,https://nen.nipez.cz/profil/OBECKOZLOVICE,338
46,Generální ředitelství cel,https://nen.nipez.cz/profil/GRC,347
47,Ústav územního rozvoje,https://nen.nipez.cz/profil/uur,359
48,Okresní soud ve Svitavách,https://nen.nipez.cz/profil/OS_Svitavy,361
49,Obec Popůvky,https://nen.nipez.cz/profil/ObecPopuvky,368
50,Krajské ředitelství policie Středočeského kraje,https://nen.nipez.cz/profil/KRPS,376
51,Krajský soud v Hradci Králové,https://nen.nipez.cz/profil/KSHK,380
52,Krajské ředitelství policie Moravskoslezského kraje,https://nen.nipez.cz/profil/KRPMSK,383
53,Obec Ježovy,https://nen.nipez.cz/profil/jezovy,396
54,Krajské ředitelství policie Ústeckého kraje,https://nen.nipez.cz/profil/KRPU,398
55,Krajské ředitelství policie Jihomoravského kraje,https://nen.nipez.cz/profil/KRPJMK,437
56,Český statistický úřad,https://nen.nipez.cz/profil/CSU,439
