id,price,company_id,procurement_id
1,,2,1
2,,1,1
3,,3,1
4,,4,1
5,,5,1
6,,6,1
7,,7,1
8,81404.95,12,6
9,90906.00,11,6
10,762876.03,14,7
11,779243.55,15,7
12,720611.06,13,7
13,812099.02,16,7
14,,19,10
15,,20,10
16,,21,10
17,,22,11
18,145360.00,26,14
19,111253.00,27,14
20,104354.00,25,14
21,171964.00,28,14
22,405900.00,29,14
23,487500.00,30,15
24,819000.00,31,15
25,870000.00,32,15
26,1457732.10,34,16
27,1548277.85,35,16
28,1371880.40,33,16
29,18872.19,37,17
30,16677.69,36,17
31,18066.12,38,17
32,702960.00,39,18
33,,40,19
34,,41,19
35,41500000.00,43,20
36,39435000.00,42,20
37,41250000.00,44,20
38,,45,21
39,,30,21
40,,46,21
41,102000.00,48,23
42,120612.00,49,23
43,47992.00,50,23
44,31748.00,51,24
45,33000.00,52,24
46,33050.00,53,24
47,33040.00,54,24
48,,55,25
49,,56,25
50,0.00,58,27
51,0.00,59,28
52,0.00,59,29
53,82480.00,60,30
54,0.00,58,31
55,1646400.00,62,33
56,1710400.00,63,33
57,1844628.10,64,33
58,1832000.00,52,33
59,1960000.00,65,33
60,0.00,66,34
61,218880.00,67,35
62,45000.00,68,36
63,0.00,69,37
64,1019550.00,69,38
65,,71,39
66,,3,39
67,,72,39
68,,73,39
69,,74,39
70,,75,39
71,,76,39
72,,77,39
73,,78,39
74,11995000.00,79,39
75,11331315.30,70,39
76,11345082.71,80,39
77,12490000.00,81,39
78,,83,40
79,,82,40
80,,84,40
81,,56,40
82,0.00,85,41
83,0.00,85,44
84,76467.77,88,45
85,183786.00,90,46
86,228270.00,91,46
87,163380.00,89,46
88,219600.00,92,46
89,,95,48
90,,96,48
91,,94,48
92,,97,48
93,,56,49
94,,98,49
95,610070.79,99,50
96,773350.00,65,50
97,728800.00,52,50
98,1586500.00,101,51
99,1440000.00,102,51
100,1488637.35,103,51
101,1352738.00,100,51
102,,65,52
103,,105,52
104,,106,52
105,,107,52
106,,108,52
107,,109,52
108,,52,52
109,,104,52
110,,56,52
111,,110,52
112,,111,53
113,,112,53
114,,114,54
115,,115,54
116,,116,54
117,,117,54
118,,113,54
119,,118,54
120,,119,54
121,,120,54
122,,121,54
123,2156563.04,123,55
124,1954579.60,122,55
125,32356.00,125,56
126,35537.19,64,56
127,32135.87,124,56
128,36087.70,37,56
129,32314.04,36,56
130,34296.91,126,56
131,35433.00,56,56
132,,37,57
133,,128,57
134,,127,57
135,,129,57
136,,130,57
137,,131,57
138,22500.00,132,58
139,42000.00,133,58
140,24240.00,134,58
141,7425.06,129,59
142,6718.00,37,59
143,13270.00,135,59
144,10849.65,130,59
145,160142.98,136,60
146,64650.00,138,61
147,56850.00,139,61
148,87600.00,140,61
149,67500.00,141,61
150,142561.98,142,61
151,74250.00,143,61
152,57300.00,137,61
153,89850.00,144,61
154,217754.55,145,61
155,,146,62
156,0.00,147,63
157,601459.20,148,64
158,0.00,149,65
159,188804.00,150,66
160,225005.00,151,66
161,418084.55,152,66
162,210190.00,153,66
163,,155,67
164,,156,67
165,,157,67
166,,154,67
167,101943.01,159,69
168,,160,70
169,161402.70,162,71
170,160302.90,161,71
171,,163,72
172,,165,73
173,,166,73
174,,167,73
175,,168,73
176,,169,73
177,,170,73
178,,171,73
179,,172,73
180,,164,73
181,,173,73
182,,174,73
183,,175,73
184,,176,73
185,,177,73
186,,178,73
187,20000000.00,179,74
188,,160,76
189,110274.75,181,78
190,99875.00,62,78
191,134193.75,182,78
192,101125.00,183,78
193,124380.00,184,78
194,1731690.00,189,83
195,1999800.00,52,83
196,1537332.00,190,83
197,1726502.00,105,83
198,1226000.00,188,83
199,1043911.41,192,84
200,1182539.14,191,84
201,1155739.46,193,84
202,1554403.18,194,84
203,1440251.67,195,84
204,1567978.00,196,84
205,0.00,197,86
206,9745.00,198,88
207,0.00,200,95
208,2453433.00,202,96
209,2334300.00,203,96
210,2622135.00,204,96
211,2090640.00,205,96
212,2501774.40,206,96
213,1858140.00,201,96
214,2994600.00,207,96
215,1797690.00,208,96
216,2185500.00,209,96
217,5265.00,180,97
218,317400.00,56,100
219,305400.00,63,100
220,253226.00,200,103
221,3240789.80,212,105
222,92235.00,213,106
223,7724070.35,191,107
224,4791816.58,194,107
225,8368512.43,195,107
226,6467751.81,193,107
227,7568984.95,214,107
228,8250.00,186,108
229,8250.00,186,108
230,4099912.50,195,110
231,4414612.38,214,110
232,3315395.60,193,110
233,3021091.69,191,110
234,3245981.31,194,110
235,3220258.15,215,110
236,3780094.00,196,110
237,275700.00,216,111
238,1180000.00,32,111
239,2273.00,180,112
240,66049.56,181,113
241,64200.00,217,113
242,63352.00,218,113
243,63960.33,38,113
244,103200.00,52,113
245,57459.50,124,113
246,66092.00,125,113
247,68811.60,37,113
248,1558880.00,219,114
249,700460.00,220,114
250,407839.67,188,114
251,1141952.00,221,114
252,663112.00,222,114
253,4400.00,223,115
254,4341.00,180,116
255,19072.00,56,117
256,4715.00,180,118
257,1338560.00,224,119
258,120000.00,226,120
259,90000.00,225,120
260,105685.95,211,121
261,31250.00,227,122
262,16560.00,228,122
263,27225.00,229,122
264,19675.00,134,122
265,9405.00,52,122
266,26550.00,131,122
267,2358.00,180,123
268,13994.00,231,124
269,7960.00,230,124
270,7320.00,232,124
271,49900.00,186,125
272,8654.00,227,126
273,176185.00,233,127
274,160000.00,234,128
275,306189.69,235,129
276,318688.00,236,129
277,308727.00,237,129
278,310831.00,238,129
279,316949.00,239,129
280,372878.00,52,129
281,300000.00,240,130
282,42207.00,241,131
283,3702.48,199,132
284,4586.78,242,133
285,1196.00,243,134
286,2290.00,106,134
287,0.00,66,135
288,23700.00,223,136
289,1023215.99,244,137
290,1961173.21,245,137
291,896748.43,71,137
292,1355248.29,246,137
293,359863.00,248,138
294,364000.00,249,138
295,329562.00,247,138
296,363990.00,250,138
297,53700.00,252,139
298,38250.00,251,139
299,50490.00,253,139
300,63666.00,254,139
301,128447.91,255,140
302,20000.00,257,141
303,10800.00,258,141
304,12000.00,259,141
305,8000.00,256,141
306,15000.00,260,141
307,394830.00,261,142
308,583800.00,262,142
309,429000.00,263,142
310,538410.00,264,142
311,1997600.00,265,143
312,620116.00,266,144
313,729740.00,267,144
314,217000.00,268,145
315,125000.00,269,146
316,162380.00,85,147
317,185900.00,270,147
318,53850.00,62,148
