id,contract_price,date_of_publication,procurement_name,place_of_performance,system_number,contracting_authority_id,supplier_id,date_of_contract_close
1,50984650.06,2021-05-21,Kanalizace a ČOV Starý Jičín – Palačov,Moravskoslezský kraj,N006/21/V00012481,1,1,
2,774797.22,2022-01-27,"1-21 Opravy zahrady (oplocení, úprava hřiště) MŠ Adélka, U Velké ceny 8, Brno-Kohoutovice",Jihomoravský kraj,N006/22/V00001774,2,8,
3,3377211.89,2023-04-28,"2-23 Oprava chodeb MŠ a ZŠ Chalabalova 2, III. etapa",Jihomoravský kraj,N006/23/V00011839,2,9,
4,4750183.53,2023-04-28,"1-23 Oprava chodeb ZŠ Pavlovská 16, II. etapa",Jihomoravský kraj,N006/23/V00011831,2,9,
5,1230000.00,2023-09-25,Zhotovení dokumentace – Dětřichov u Moravské Třebové – ČOV a gravitační kanalizace,,N006/23/V00026916,3,10,
6,90906.00,2023-04-11,Raft,Česká republika,N006/23/V00009663,4,11,
7,720611.06,2023-09-25,"BD Chemiků 124-129 - výměna ležatých rozvodů SV, TUV a cirkulace",Pardubický kraj,N006/23/V00020182,5,13,
8,250000.00,2023-05-03,Nový přístřešek pro dopravu na autobusové nádraží,,N006/23/V00010549,6,17,
9,357955.00,2023-05-05,VÝSTAVBA PERGOLY A TERASY,,N006/23/V00009562,6,18,
10,13690555.41,2023-06-16,Energetické úspory BD Nájemnická 12,Moravskoslezský kraj,N006/23/V00017271,7,19,
11,757024.79,2023-08-09,SŠZePř Rožnov pod Radhoštěm- zajištění praktického výcviku autoškoly skupiny „B a C“ ve šk. roce 2023-2024,Zlínský kraj,N006/23/V00022325,8,22,
12,1457493.60,2023-09-25,Revitalizace volné krajiny - Drnovice,,N006/23/V00026902,9,23,
13,49586776.86,2019-09-24,Noktovizor KLÁRA - opravy a udržování,,N006/19/V00027352,4,24,
14,104354.00,2022-09-30,KŘP KVy - P 2.0 - ÚO Havlíčkův Brod - rekonstrukce kotelny - výkon TDS,Kraj Vysočina,N006/22/V00025669,10,25,
15,445500.00,2022-01-31,KŘP KVy - P 2.0 - ÚO Havlíčkův Brod - rekonstrukce kotelny - projektová dokumentace,Kraj Vysočina,N006/22/V00001836,10,30,
16,1371880.40,2023-09-25,MT 38414/ÚP82/LÚ1/TČ,Plzeňský kraj Plzeňský kraj Plzeňský kraj Plzeňský kraj Plzeňský kraj Plzeňský kraj Plzeňský kraj Plzeňský kraj Plzeňský kraj Plzeňský kraj,N006/23/V00025447,11,33,
17,16677.69,2020-09-29,Bílá elektronika,Středočeský kraj,N006/20/V00025362,4,36,
18,1983471.00,2022-07-21,Rámcová dohoda – oprava a servis automobilních jeřábů,Středočeský kraj,N006/22/V00018889,4,39,
19,3068883.70,2023-06-19,On-premises Client access license s Microsoft Software Assurance na následující 3 roky (Microsoft CAL s SA),Středočeský kraj,N006/23/V00016908,12,40,
20,39435000.00,2023-03-20,TECHNICKÁ OPATŘENÍ NA VODOVODECH PRO VEŘEJNOU POTŘEBU PROTI MOŽNÝM NEGATIVNÍM VLIVŮM ROZŠÍŘENÍ TĚŽBY V LOMU TURÓW V POLSKU NA FRÝDLANTSKU PROJEKTOVÁ A INŽENÝRSKÁ ČINNOST,Liberecký kraj,N006/23/V00007599,13,42,
21,7997016.00,2022-09-15,KŘP KVy - P 2.0 - ÚO Havlíčkův Brod - rekonstrukce kotelny - realizace,Kraj Vysočina,N006/22/V00023629,10,45,
22,65289256.20,2019-09-24,Zaměřovací přístroje nočního vidění řady MEO - opravy a udržování,,N006/19/V00027396,4,47,
23,102000.00,2022-08-15,Nákup přenosných EC kufříkové provedení s výkonem do 4kW,Středočeský kraj,N006/22/V00021054,4,48,
24,31748.00,2023-06-12,"23099/2023-ZE, Multifunkční zařízení pro zpracování potravin Vorwerk Thermomix TM6 - kopie",Jihomoravský kraj,N006/23/V00016612,4,51,
25,128275.00,2023-07-17,PS 0401 – Výměna dešťových svodů,Liberecký kraj,N006/23/V00020076,4,55,
26,275274.38,2023-08-28,Nákup drobného kynologického materiálu,,N006/23/V00023877,4,57,
27,36140.00,2023-09-25,Výzva k rámcové dohodě č. 52/2023,Liberecký kraj,N006/23/V00017696,4,58,
28,104017.56,2023-06-09,Nákup 1 995 kg krmiva pro služební psy v zátěži,Liberecký kraj,N006/23/V00015703,4,59,
29,15120.00,2023-06-09,Nákup 300 kg krmiva pro služební psy bez zátěže,Liberecký kraj,N006/23/V00015702,4,59,
30,82480.00,2020-04-08,Výzva k plnění č. 4 k rámcové dohodě Sp.zn. SpMO 21949/2019-1837-7,Královéhradecký kraj,N006/20/V00008030,4,60,
31,6136.00,2023-06-01,Výzva k rámcové dohodě č. 43/2023,Liberecký kraj,N006/23/V00015133,4,58,
32,125000.00,2023-05-24,Nákup služebního psa 27. 4. 2023 - hlídkový obranný a strážní,,N006/23/V00014488,4,61,
33,1983471.07,2022-07-13,RD - lehátka polní skoádací přenosná,Jihočeský kraj,N006/22/V00018103,4,62,
34,145860.00,2023-09-25,Výzva k rámcové dohodě č. 75/2023,Liberecký kraj,N006/23/V00026780,4,66,
35,218880.00,2019-04-15,Pronájem datových okruhů Pohořelice,Jihomoravský kraj,N006/19/V00010405,14,67,
36,45000.00,2023-07-26,"Inerciální senzor a příslušenství, 23255/2023-SV",Jihomoravský kraj,N006/23/V00018654,4,68,
37,178416.00,2023-08-08,Objednávka tiskových služeb z RD č. 2/2023 pro HZS Zlínského kraje,Zlínský kraj,N006/23/V00021814,15,69,
38,1019550.00,2023-02-24,Objednávka tiskových služeb z RD č. 1/2023 pro HZS Zlínského kraje,Zlínský kraj,N006/23/V00004604,15,69,
39,11331315.30,,Kanalizace Poběžovice - m.č. Šitboř,Plzeňský kraj,N006/20/V00031122,16,70,
40,25390.00,2023-08-24,PS 0503 - Revize hromosvodů v objektech Jaroměř a Nový Ples,Královéhradecký kraj,N006/23/V00023692,4,82,
41,24000.00,2023-09-25,10.DP.- Kompletní servis mobilních WC v letním období,Česká republika,N006/23/V00026770,4,85,
42,19512.86,2023-09-25,Dodávka kancelářských potřeb dle Rámcové dohody pro ÚOP OL 1_2023 - kopie,Olomoucký kraj,N006/23/V00026742,17,86,
43,2050750.00,2022-03-28,STAVEBNÍ ÚPRAVY VSTUPNÍHO SCHODIŠTĚ ZÁMKU,,N006/22/V00006984,16,87,
44,7280.00,2023-09-25,24.DP.- Pronájem mobilních WC,Česká republika,N006/23/V00026773,4,85,
45,76467.77,2022-06-27,Slavnostní prapor Rakovník,Středočeský kraj,N006/22/V00013207,4,88,
46,300000.00,2023-08-09,Servis a opravy klimatizace a vzduchotechniky – pracoviště Ostrava,Moravskoslezský kraj,N006/23/V00021449,18,89,
47,670200.00,,Sekačka na trávu s bezimisním pohonem,,N006/23/V00001798,19,93,
48,2140030.00,2023-06-09,"NPÚ, GnŘ - Dodávka, montáž a zprovoznění EPS, EZS, CCTV, nouzového osvětlení a místního rozhlasu",Hlavní město Praha,N006/23/V00000256,17,94,
49,265600.00,2023-09-25,PS 0503 – Oprava betonových ploch a nájezdu před b. č. 25 (závada BOZP),Královéhradecký kraj,N006/23/V00021416,4,98,
50,610070.79,2022-06-08,"Nákup zahradní techniky (sekačky, traktory, křovinořezy, pily, fukary apod.)",Středočeský kraj Středočeský kraj,N006/22/V00014684,4,99,
51,1352738.00,2022-03-07,FZŠ - Dopravní automobil,Jihočeský kraj,N006/22/V00004749,20,100,
52,44032.50,2022-06-08,Nákup 50 ks palic,Středočeský kraj,N006/22/V00014691,4,104,
53,492625.00,2023-09-25,Poskytování datových služeb MPSV– Gigabit Na Poříčním právu 1/376,Hlavní město Praha,N006/23/V00022796,21,111,
54,301087.36,2023-07-13,PS 0529 - Nátěr ocelových oken a oprava omítky b.č. 23 a 25 – sklady VUSS Pardubice,Pardubický kraj,N006/23/V00019874,4,113,
55,1954579.60,2023-09-05,Nákup převleků maskovacích,Olomoucký kraj,N006/23/V00024658,4,122,
56,32135.87,2022-05-02,"G 83 chladnička s mrazákem, kávovar, chladnička",Zlínský kraj,N006/22/V00010245,4,124,
57,28800.00,2022-06-13,Nákup ochranných prostředků na ruce,Středočeský kraj,N006/22/V00015047,4,127,
58,22500.00,2022-07-20,Nákup požárních hadic,Středočeský kraj,N006/22/V00018707,4,132,
59,6718.00,2021-06-09,Repelenty a prostředky na hubení hmyzu,Hlavní město Praha,N006/21/V00014655,4,37,
60,160142.98,2023-09-25,Výzva k DP č.1/2023 oprava autobusu dle RD,Olomoucký kraj,N006/23/V00026193,4,136,
61,57300.00,2022-10-25,Přikrývka prošívaná + polštář - set,Královéhradecký kraj,N006/22/V00028527,4,137,
62,40000000.00,2023-09-25,DODÁVKY IZOLÁTORŮ VN KERAMICKÝCH PODPĚRNÝCH A ZÁVĚSNÝCH,Česká republika,N006/23/V00013470,22,146,
63,444400.00,2023-07-13,"PL č. 21/2023 - 3 RD - kalibrace ZIL 131 9G22 vpz. 346-21-95, v.č. 84307034",Olomoucký kraj,N006/23/V00016701,4,147,
64,601459.20,2023-05-30,"Rozšíření softwaru ADONIS NP a poskytování technické podpory, č. ZMR-176",Hlavní město Praha,N006/23/V00015188,23,148,
65,69180.00,2023-09-14,Dílčí plnění č. 18/2023 - BO zařízení Imitátor vzdušné situace PIZZA v.č. 001,Pardubický kraj,N006/23/V00013919,4,149,
66,188804.00,2023-07-26,výstavba strukturované kabeláže a aktivních síťových prvků,Hlavní město Praha,N006/23/V00021032,24,150,
67,33676251.00,2021-09-20,Náhradní díly - zbraně ostatní 2022,Olomoucký kraj,N006/21/V00024647,4,154,
68,421558.50,2023-09-25,Zajištění podpory SRP licencí systému PI,Česká republika,N006/23/V00006949,25,158,
69,101943.01,2023-08-30,"23450/2023-SE, Servis a kalibrace přístrojů LECO",Jihomoravský kraj,N006/23/V00020611,4,159,
70,57500.00,2023-09-25,Vzorek paralyzéru s příslušenstvím,Česká republika,N006/23/V00013588,26,160,
71,160302.90,2023-09-25,MT 38409/ÚP22/LÚ1/PČ,Jihočeský kraj,N006/23/V00024932,11,161,
72,160000.00,2023-06-16,Znalecký posudek k posouzení nabídkové ceny pro zakázku - Pořízení nadzvukového letounu 5. generace,Česká republika,N006/23/V00017131,4,163,
73,109.80,2022-06-27,ND – Poskytování bezpečnostních služeb pro Státní operu,Hlavní město Praha,N006/22/V00015117,27,164,
74,20000000.00,2023-07-26,KRÁTKODOBÁ MIKROAXIÁLNÍ KATÉTROVÁ MECHANICKÁ SRDEČNÍ PODPORA,Zlínský kraj,N006/23/V00020270,28,179,
75,413223.14,2023-09-25,DP: Závodní stravování formou stravovacích poukázek 2021 (3.DP),Česká republika,N006/21/V00015110,4,66,
76,3526000.00,2023-09-25,Rámcová dohoda na dodávky konverzních sad (závěrů) FX pro dlouhé zbraně,Česká republika,N006/23/V00004011,26,160,
77,7381.00,2021-01-26,"DP: Zabezpečení praní prádla, výstrojních součástek a oděvů 2021-2022 (1.DP)",Hlavní město Praha,N006/21/V00001160,4,180,
78,99875.00,2022-08-22,Nákup taktických LED čelovek,Středočeský kraj,N006/22/V00021756,4,62,
79,1652.89,2020-12-15,DP: Servisní prohlídka Š Fabia 027-21-35 (38.DP) Čechy,Hlavní město Praha,N006/20/V00033448,4,185,
80,87100.00,2020-12-10,DP: opravy a servis VKZ elektro (18.DP),Hlavní město Praha,N006/20/V00032682,4,186,
81,2344.00,2020-12-09,"DP: zabezpečení praní prádla,oděvů a výstrojních součástek (39.DP)",Hlavní město Praha,N006/20/V00032565,4,180,
82,7438.02,2021-01-28,"DP: OpravaVW Transporter T5, VZ 972-11-79 (26.DP) MORAVA",Olomoucký kraj,N006/20/V00032561,4,187,
83,1226000.00,2022-08-22,Nákup plastových palet a kontejnerů,Středočeský kraj,N006/22/V00021775,4,188,
84,1182539.14,2023-04-11,"Modernizace odborných učeben, kabinetů a zázemí pro školní družiny základních škol v Přerově (stavba) – ZŠ U TENISU",Olomoucký kraj,N006/23/V00009124,29,191,
85,2479.34,2020-12-08,"DP: Servisní prohlídka Š Fabia II, VPZ: 026-41-25 (49.DP)",Hlavní město Praha,N006/20/V00031873,4,185,
86,2721.00,2023-09-25,DP č. 6 - Praní u DS k RD č. 22105002241,Olomoucký kraj,N006/23/V00025569,4,197,
87,4132.23,2020-12-01,"DP: Servisní prohlídka Š Praktik, VPZ 025-37-98 (48.DP)",Hlavní město Praha,N006/20/V00031871,4,185,
88,9745.00,2023-09-14,"ÚP ČR KrP České Budějovice - Dovybavení, obnova zdravotnického materiálu lékárniček",Jihočeský kraj,N006/23/V00025694,30,198,
89,2479.34,2020-12-01,"DP: Servisní prohlídka Š Fabia II, RZ 024-91-15 (47.DP)",Hlavní město Praha,N006/20/V00031870,4,185,
90,4132.23,2020-12-01,"DP: Servisní prohlídka VW Transporter T6, RZ:212-27-24 (46.DP)",Hlavní město Praha,N006/20/V00031869,4,185,
91,2479.34,2020-12-01,"DP: Servisní prohlídka Š Fabia Praktik, VPZ 024-48-00 (45.DP)",Hlavní město Praha,N006/20/V00031868,4,185,
92,1513.00,2020-12-10,"DP: Zabezpečení praní prádla, oděvů a výstrojních součástek (38.DP)",Hlavní město Praha,N006/20/V00031572,4,180,
93,1851.24,2020-11-27,DP: STK a ME vozidel nad 3.5t ( 9.DP),Středočeský kraj,N006/20/V00031570,4,199,
94,500.00,2020-11-26,DP: Oprava a údržba Škoda Fabia 212-82-96 (25.DP) Morava,Olomoucký kraj,N006/20/V00031194,4,187,
95,6136.00,2023-09-25,Nákup zimních pneumatik,Česká republika,N006/23/V00026216,31,200,
96,1858140.00,2021-01-19,Nákup externích defibrilátorů,Hlavní město Praha,N006/21/V00001298,32,201,
97,5265.00,2021-07-21,DP: praní prádla (11. DP),Hlavní město Praha,N006/21/V00016816,4,180,
98,9737.00,2020-12-10,DP: Oprava a údržba autobusů různých značek (15.DP),Hlavní město Praha,N006/20/V00030951,4,210,
99,22672.00,2020-12-10,DP: Zabezpečení údržby a opravy autobusů různých značek (14.DP),Hlavní město Praha,N006/20/V00030948,4,210,
100,305400.00,2022-08-23,Chrániče sluchu,Středočeský kraj,N006/22/V00021884,4,63,
101,105685.95,2020-12-10,DP: Zabezpečení smluvního stravování leden 2021 (3.DP),Středočeský kraj,N006/20/V00030738,4,211,
102,116760.00,2020-12-10,DP: Zabezpečení smluvního stravování prosinec (2.DP),Středočeský kraj,N006/20/V00030603,4,211,
103,253226.00,2023-09-25,Dodávka 100 ks pneumatik pro HZS Jihomoravského kraje,Jihomoravský kraj,N006/23/V00026052,14,200,
104,1851.24,2020-11-26,DP: Stk a ME nad 3.5t (8.DP),Středočeský kraj,N006/20/V00030599,4,199,
105,6481579.60,2023-06-26,Zajištění nakládání s odpady s pravidel. výskytem kategorie O - III.,Hlavní město Praha,N006/23/V00017459,33,212,
106,92235.00,2023-09-25,Grafická úprava a tisková příprava knihy Sakrální architektura 2. polovina 20. století v Československu (pracovní název),,N006/23/V00020109,17,213,
107,4791816.58,2023-04-11,"Modernizace odborných učeben, kabinetů a zázemí pro školní družiny základních škol v Přerově (stavba) – ZŠ SVISLE",Olomoucký kraj,N006/23/V00009040,29,194,
